 original_language ,original_title,overview,runtime,tagline,vote_average
 en ,Love in the Time of Monsters,Two sisters travel to a cheesy tourist trap where they battle toxic monsters dressed in bigfoot costumes in order to save the ones they love.,0,,5
 it ,...E tu vivrai nel terrore! L'aldilà,"A young woman inherits an old hotel in Louisiana where after a series of supernatural 'accidents', she learns that the building was built over one of the entrances to Hell.",87,"The seven dreaded gateways to Hell are concealed in seven cursed places… And from the day the gates of Hell are opened, the dead will walk the earth.",6.6
 da ,What Happens in Vegas,"During a wild vacation in Las Vegas, career woman Joy McNally and playboy Jack Fuller come to the sober realization that they have married each other after a night of drunken abandon. They are then compelled, for legal reasons, to live life as a couple for a limited period of time. At stake is a large amount of money.",99,Get Lucky,5.8
 en ,The Dark Hours,"Dr. Samantha Goodman is a beautiful, young psychiatrist. Burnt out, she drives to the family’s winter cottage to spend time with her husband and sister. A relaxing weekend is jarringly interrupted when a terrifying and unexpected guest arrives. What follows is an extraordinary night of terror and evil mind games where escape is not an option.",80,,5.5
 en ,My Beautiful Laundrette,"Omar, a homosexual Pakistani boy living in London with his alcoholic father, lifts a chunk of drug money from another Pakistani and, with his lover Johnny, decides to renovate a grungy laundrette.",97,,6.6
 en ,Fabled,"Joseph just broke up with his girlfriend and is not taking it very well. He thinks she is plotting against him with their mutual psychiatrist. His dog is missing and he suspects the people at work might be behind it. Then there is the unshakable guilt over his past. It just might all be bearable, somehow possible to live through, if it weren't for those damned 'monsters' that keep trying to kill him. Through an allegorical 'fable' that is told in parallel with Joseph's struggle, we are left to decide for ourselves in the end, who is the crow and who is the wolf., was someone out to get Joseph, was it a stroke of bad luck, or was it all in his head?",84,There once was a wolf named Lupold...,0
 en ,Show Me,"When two squeegee kids descend upon Sarah and her luxury sedan, the fuse is lit on a tense cat and mouse tale of captors and captives. Sarah is forced to continue her trip to an isolated cottage where the twisted trio bait and entice one another in a reckless search for truth.",97,,5.6
 sv ,Viskningar och rop,"When a woman dying of cancer in turn-of-the century Sweden is visited by her two sisters, long repressed feelings between the siblings rise to the surface.",91,A haunting and shattering film experience.,7.8
 en ,Intolerance,"The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.",197,The Cruel Hand of Intolerance,7.4
 en ,Trekkies,A hilarious look at the universe's most fervent fans.,86,,6.3
 en ,The Broadway Melody,"Harriet and Queenie Mahoney, a vaudeville act, come to Broadway, where their friend Eddie Kerns needs them for his number in one of Francis Zanfield's shows. Eddie was in love with Harriet, but when he meets Queenie, he falls in love to her, but she is courted by Jock Warriner, a member of the New Yorker high society. It takes a while till Queenie recognizes, that she is for Jock nothing more than a toy, and it also takes a while till Harriet recognizes, that Eddie is in love with Queenie",100,The pulsating drama of Broadway's bared heart speaks and sings with a voice to stir your soul!,5
 en ,The Evil Dead,"When a group of college students finds a mysterious book and recording in the old wilderness cabin they've rented for the weekend, they unwittingly unleash a demonic force from the surrounding forest.",85,The Ultimate Experience In Grueling Terror,7.3
 en ,Maniac,"As he helps a young artist with her upcoming exhibition, the owner of a mannequin shop's deadly, suppressed desires come to the surface.",89,I Warned You Not to Go Out Tonight.,6
 en ,Censored Voices,"The 1967 'Six-Day' war ended with Israel's decisive victory; conquering Jerusalem, Gaza, Sinai and the West Bank. It is a war portrayed, to this day, as a righteous undertaking - a radiant emblem of Jewish pride. One week after the war, a group of young kibbutzniks, led by renowned author Amos Oz, recorded intimate conversations with soldiers returning from the battlefield. The recording revealed an honest look at the moment Israel turned from David to Goliath. The Israeli army censored the recordings, allowing the kibbutzniks to publish only a fragment of the conversations. 'Censored Voices' reveals the original recordings for the first time.",84,"The Six-Day War, Uncut.",5.1
 en ,Murderball,"Quadriplegics, who play full-contact rugby in wheelchairs, overcome unimaginable obstacles to compete in the Paralympic Games in Athens, Greece.",88,,6.9
 en ,American Ninja 2: The Confrontation,"On a remote Caribbean island, Army Ranger Joe Armstrong saves an old friend from the clutches of ""The Lion"", an evil super-criminal who has kidnapped a local scientist and mass-produced an army of mutant Ninja warriors.",90,,4.9
 en ,51 Birch Street,"Documentary filmmaker Doug Block had every reason to believe his parents' 54-year marriage was a good one. But when his mother dies unexpectedly and his father swiftly marries his former secretary, he discovers two parents who are far more complex and troubled than he ever imagined. 51 Birch Street is a riveting personal documentary that explores a universal human question: how much about your parents do you really want to know?",90,Do you really want to know your parents?,6.8
 en ,Rotor DR1,"In a post-apocalyptic world where half the population is dead or missing and the sky is full of autonomous drones, a 16-year-old boy named Kitch sets out to find his father, joined by DR1, his drone companion.",98,,4.7
 en ,12 Angry Men,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",96,Life is in their hands. Death is on their minds.,8.2
 en ,My Dog Tulip,The story of a man who rescues a German shepherd and how the two become fast friends.,83,"Sometimes, love really is a bitch.",7.6
 en ,It Happened One Night,"Ellie Andrews has just tied the knot with society aviator King Westley when she is whisked away to her father's yacht and out of King's clutches. Ellie jumps ship and eventually winds up on a bus headed back to her husband. Reluctantly she must accept the help of out-of- work reporter Peter Warne. Actually, Warne doesn't give her any choice: either she sticks with him until he gets her back to her husband, or he'll blow the whistle on Ellie to her father. Either way, Peter gets what he wants... a really juicy newspaper story!",105,TOGETHER... for the first time,7.7
 el ,Κυνόδοντας,"Three teenagers are confined to an isolated country estate that could very well be on another planet. The trio spend their days listening to endless homemade tapes that teach them a whole new vocabulary. Any word that comes from beyond their family abode is instantly assigned a new meaning. Hence 'the sea' refers to a large armchair and 'zombies' are little yellow flowers. Having invented a brother whom they claim to have ostracized for his disobedience, the uber-controlling parents terrorize their offspring into submission.",94,The cat is the most feared animal there is!,6.9
 en ,Tupac: Resurrection,"Home movies, photographs, and recited poetry illustrate the life of Tupac Shakur, one of the most beloved, revolutionary, and volatile hip-hop MCs of all time.",112,In his own words,8
 en ,Tumbleweeds,"A woman constantly runs from town to town with her 12 year old daughter to escape failed relationships. The film opens with one escape and the shift into a new start in San Diego. There Mom takes up with a controlling trucker and fights with her weirdo boss. Meanwhile, the daughter, used to making the constant shifts, finds a fit at school including getting chosen for a play lead.",102,They ran away from everything but each other.,6.2
 en ,The Prophecy,"The angel Gabriel comes to Earth to collect a soul which will end the stalemated war in Heaven, and only a former priest and a little girl can stop him.",98,"On ancient ground, at the edge of the world, an evil born in heaven is about to be unleashed on earth.",6.4
 fr ,Chacun Cherche Son Chat,"When Chloe (Garance Clavel), a young Parisian, decides to take a long-overdue vacation, she has to find someone to look after Gris-Gris, her beloved cat. Everyone, including her gay male roommate, refuses to help her, but she finally makes an arrangement with the elderly Madame Renée (Renée Le Calm), who often watches over other peoples' cats and dogs. However, when Chloe comes back, Madame Renée tells her that unfortunately the cat has been lost, and the unlucky owner goes on a search for her dear animal friend. While looking for the cat, she meets many colorful characters who populate the neighborhood.",91,No man. No job. No cat.,6.1
 en ,Pieces of April,"Quirky and rebellious April Burns lives with her boyfriend in a low-rent New York City apartment miles away from her emotionally distant family. But when she discovers that her mother has a fatal form of breast cancer, she invites the clan to her place for Thanksgiving. While her father struggles to drive her family into the city, April -- an inexperienced cook -- runs into kitchen trouble and must ask a neighbor for help.",81,She's the one in every family.,6.4
 en ,The Big Swap,"In this British drama, Ellen (Sorcha Brooks) and Jack (Antony Edridge) recall a time when they traded partners, and their remarks set a partner-swapping party in motion among four other couples. As the long night's journey into sex progresses, various fears and anxieties surface. Shown at Montreal's 1997 World Film Festival and the 1997 San Sebastian Film Festival.",0,,0
 en ,Old Joy,Two old pals reunite for a camping trip in Oregon's Cascade Mountains.,73,,6.3
 en ,Wendy and Lucy,"Wendy, a near-penniless drifter, is traveling to Alaska in search of work, and her only companion is her dog, Lucy. Already perilously close to losing everything, Wendy hits a bigger bump in the road when her old car breaks down and she is arrested for shoplifting dog food. When she posts bail and returns to retrieve Lucy, she finds that the dog is gone, prompting a frantic search for her pet.",80,"On the long road, friendship is everything.",6.4
 en ,3 Backyards,The story of three people from the same suburban town during the course of one curious autumn day.,88,,4.8
 fr ,Pierrot le fou,"Pierrot escapes his boring society and travels from Paris to the Mediterranean Sea with Marianne, a girl chased by hit-men from Algeria. They lead an unorthodox life, always on the run.",110,,7.6
 en ,Sisters in Law,"Set in Kumba in South West Cameroon Sisters in Law follows Adultery, Rape and Abuse cases led by a Female Judge.",104,,7.3
 en ,Ayurveda: Art of Being,"Ayurveda is a science of life and a healing art, where body, mind and spirit are given equal importance. This voyage of thousands of miles across India and abroad takes you on a unique poetic journey, where we encounter remarkable men of medicine or simply a villager who lives in harmony with nature. ""Hope is nature's way of enabling us to survive so that we can discover nature itself.""",101,,5.5
 en ,Nothing But a Man,A proud black man and his school-teacher wife face discriminatory challenges in 1960s America.,95,,7
 en ,"First Love, Last Rites",Joey and Sissel are two misfits spending most of their time together talking or having sex. Gradually and slowly their relationships are becoming boring for them.,94,,3
 en ,Fighting Tommy Riley,"An aging trainer and a young fighter, both in need of a second chance, team-up to overcome the demons of their past...and chase the dreams of their future.",0,,5.3
 en ,Royal Kill,"A fearsome warrior from the Kingdom of Samarza arrives in America to assassinate a high school girl. The girl does not know it, but she is the last living heir to the Kingdom. A noble guard arrives in America to protect the young princess.",90,,2.8
 en ,The Looking Glass,"Troubled 13-year-old Julie loses her mother and must go to Indiana to live with her grandmother Karen. A former star of stage and screen, Karen has the early stages of Alzheimer's and wants to pass on all she knows to her granddaughter before it's too late. Will their troubled relationship allow this to happen?",110,,7
 en ,Death Race 2000,"In a boorish future, the government sponsors a popular, but bloody, cross-country race in which points are scored by mowing down pedestrians. Five teams, each comprised of a male and female, compete using cars equipped with deadly weapons. Frankenstein, the mysterious returning champion, has become America's hero, but this time he has a passenger from the underground resistance.",80,A Cross Country Road Wreck!,5.9
 en ,Locker 13,"The story of Skip, a young ex-convict who takes a position as a night janitor at an old-west theme park. His supervisor Archie, teaches him the ropes, but more importantly attempts to convey critical philosophical messages through a series of four stories: a down and out boxer is given the opportunity to become a real golden gloves killer; an assassin kidnaps three people in order to find out who hired him for his latest hit; a new recruit is initiated into a lodge of fez-wearing businessmen where hazing can take a malevolent turn; and a member of a suicide club introduces real fear into a man about to jump to his death.",90,,6.8
 en ,Midnight Cabaret,"A Broadway producer puts on a play with a Devil character in it. Soon the actors begin having nightmares, and events that are mentioned in the play really start happening.",94,The hot spot where Satan's waitin'.,0
 en ,Anderson's Cross,"Nick Anderson, Kevin Daniels, and Tracey Green do everything together. They are the best of friends, and yet they couldn't be more different. Neighbors from adolescence, they finish each other's thoughts and sentences, joys and pains, happiness and tears. Using Nick's house as their own members only clubhouse, they escape into their own world of contentment. Yet the inevitable intrusion of others tests their stability in ways never imagined.",98,Sometimes the boy next door is more than the boy next door...,0
 en ,Bizarre,"Maurice, a reticent young homeless man, somehow manages to get by in Brooklyn; he spends his nights in parked cars until he finds himself at Bizarre, an underground club renowned for its burlesque shows. Maurice is fascinated by the club’s playful revues celebrating self-determined sexuality and creative otherness, and the two female club owners both adore him. He soon becomes a part of their self-selected family, and begins to bond with introverted Luka. But Maurice turns his back on Luka’s growing affection. Running away from his true emotions he drifts aimlessly through the city. He tries to find his feet at a boxing club, where he meets Charlie. Unable to withstand the pressure of his repressed feelings, Maurice unleashes a mounting foment of emotions, pervaded by tenderness and menace.",99,,6.2
 en ,Graduation Day,"After a high school track runner, named Laura, suddenly dies from a heart attack after finishing a 30-second 200-meter race, a killer wearing a sweat suit and a fencing mask begins killing off her friends on the school track team one by one. The suspects include the track coach Michaels, Laura's sister Anne who arrives in town for the funeral, the creepy school principal Mr. Guglione, and Laura's strange boyfriend Kevin.",96,Some kids are dying to graduate...,5
 en ,Some Guy Who Kills People,"A former mental patient's repressed anger reaches the boiling point, leading him to embark on a mission of revenge against the thugs who once subjected him to severe physical and mental trauma.",97,Your number is up.,5.7
 en ,Compliance,"Sandra is the manager at a fast-food restaurant, and Becky is her teenaged counter girl who really needs the job. One stressful day, a police officer telephones and accuses Becky of stealing money from a customer’s purse, which Becky vehemently denies. Sandra, overwhelmed by her managerial responsibilities, complies with the officer’s orders to detain Becky, beginning a nightmare that tragically blurs the lines between expedience, prudence, legality and reason.",90,Power. Manipulation. Obedience.,6.3
 en ,Chasing Amy,"Holden and Banky are comic book artists. Everything is going good for them until they meet Alyssa, also a comic book artist. Holden falls for her, but his hopes are crushed when he finds out she's a lesbian.",113,It's not who you love. It's how.,6.7
 en ,Lovely & Amazing,Self-esteem and insecurity are at the heart of this comedy about the relationship between a mother and her three confused daughters.,91,,6.3
 en ,Death Calls,"An action-packed love story on the Mexican border featuring oppression, revenge, reincarnation and rebirth.",0,,0
 en ,Better Luck Tomorrow,A group of over-achieving Asian-American high school seniors enjoy a power trip when they dip into extra-curricular criminal activities.,101,Never underestimate an overachiever.,6.5
 en ,The Incredibly True Adventure of Two Girls In Love,An adventurous love story between two young women of different social and economic backgrounds who find themselves going through all the typical struggles of a new romance.,94,,5.7
 en ,Chuck & Buck,"Buck is a man-child who has lived his existence in a life of kindergarten collages and lollipops. Buck remembers his old childhood friend Chuck, with whom he feels a need to reconnect with after having invited him to his mother's funeral. Buck treks out to LA where Chuck, now a music record executive, is living his life. Buck ends up developing an obsession with Chuck and begins stalking him.",96,REMEMBER THOSE GAMES WE USED TO PLAY?,5.7
 en ,American Desi,"This is a fun-loving romantic comedy reminiscent of the great teen films of the 80's.From Kris, an All-American boy from India, to Ajay, an Afro-Centric Hindu homeboy, to Farah, a devoutly religious but modern Muslim girl, 'American Desi' tells the story of a unique set of characters and their culture from a decidedly hip and youthful point of view.",100,,5
 en ,Amidst the Devil's Wings,"Prequel to ""5th of a Degree.""",90,"Prequel to ""5th of a Degree.""",0
 en ,Cube,Seven strangers are taken out of their daily lives and placed mysteriously in a deadly cube where they all agree they must find their way out.,90,Don't look for a reason... Look for a way out.,6.9
 it ,Love and Other Catastrophes,A day in the life of two film-school students trying to find love and another house-mate.,78,,5.8
 en ,I Married a Strange Person!,"A newlywed develops a strange lump on his neck that gives him the ability to transform people or objects at will. His wife is very upset. Meanwhile, the CEO of Smilecorp learns of this man and his ability and sees a way to achieve world domination if only the man can be taken alive. Animated movie by Bill Plympton.",72,,7.5
 en ,November,"Sophie Jacobs is going through the most difficult time of her life. Now, she just has to find out if it's real.",73,,4.9
 en ,Like Crazy,"A British college student falls for an American student, only to be separated from him when she's banned from the U.S. after overstaying her visa.",90,I Want You. I Need You. I Love You. I Miss You.,6.4
 en ,Teeth and Blood,"A beautiful diva is murdered on the set of horror director Vincent Augustine's latest film ""Chapel Blood."" Somewhere between the crime scene and the coroner's van, the body mysteriously disappears. Meanwhile, the city's supply of donated blood is being dangerously depleted. Suspecting a connection between the events, detectives Mike Hung and Sasha Colfax go undercover at the studio to investigate. Their attempt to crack the case quickly turns into a desperate battle for survival when they uncover an age-old war between rival vampire covens that threatens to consume humanity in a final, grisly assault of Teeth and Blood!",96,,3
 en ,Sugar Town,"Look at the lives of struggling L.A. scene rock stars follows main character, Gwen, on her quest for the top. Working as an assistant to a film production designer, she tries to steal her boy friend who is a music producer by offering sexual favors. The producer meanwhile is trying to orchestrate a comeback for a former glam band comprised of Michael Des Barres, John Taylor and Martin Kemp. Rosanna Arquette plays the former movie star wife of the lead singer, who is fretting because she has just been offered the role as the mother of one of the new ingenious. Beverly D'Angelo also shows up as a millionairess who agrees to bankroll the group, but only if she gets a roll in the hay with the lead singer. All of the career problems, including drug proclivity, are represented in this film.",92,,5.5
 en ,The Motel,"Thirteen-year-old Ernest Chin lives and works at a sleazy hourly-rate motel on a strip of desolate suburban bi-way. Misunderstood by his family and blindly careening into puberty, Ernest befriends Sam Kim, a self-destructive yet charismatic Korean man who has checked in. Sam teaches the fatherless boy all the rites of manhood.",75,Out of Place in the Middle of Nowhere.,7
 en ,The Canyons,"The discovery of an illicit love affair leads two young Angelenos on a violent, sexually charged tour through the dark side of human nature.",99,It's not the hills.,4.1
 en ,On the Outs,"Follows the choices made by three young women - one a drug dealer, one an addict, one a pregnant teen - in Jersey City.",86,A drug dealer. An addict. A runaway. The story of 3 girls.,5.9
 en ,Shotgun Stories,"Shotgun Stories tracks a feud that erupts between two sets of half brothers following the death of their father. Set against the cotton fields and back roads of Southeast Arkansas, these brothers discover the lengths to which each will go to protect their family.",92,Two families. One feud. No going back.,6.9
 en ,Exam,The final candidates for a highly desirable corporate job are locked together in an exam room and given a test so simple and confusing that tension begins to unravel.,101,How far would you go to win the ultimate job?,6.6
 en ,The Sticky Fingers of Time,"A 1950s author (Terumi Matthews) is transported to 1990s Brooklyn, where she meets a woman (Nicole Zaray) who reads about her life.",90,,4.8
 en ,Sunday School Musical,Two competing groups of high school students must rally together and enter a song and dance competition in order to save their church from closing.,93,,5.5
 en ,Rust,"In the midst of a midlife crisis of faith, a man finds hope where he least expects it – his hometown. James Moore (Golden Globe nominee Corbin Bernsen) is a former pastor who returns home to discover a family new to the area has been killed in a mysterious fire, and his childhood friend is implicated in the murder. Convinced of his friend’s innocence, James sets out on a mission to find the truth… and in the process, rediscovers his own lost faith. An uplifting drama about faith, family, and the powerful ties that bind a community together.",94,,0
 en ,Ink,"Invisible forces exert power over us in our sleep. A mercenary named Ink, on a literal nightmare mission, captures the spirit of 8-year-old Emma in the dream world. To save her, the dream-givers marshal all their resources, focusing on saving the soul of Emma's tragically broken father.",106,dreams,6.4
 en ,The Christmas Bunny,"The Christmas Bunny tells the story of a lonely foster child (Sophie Bolen) who finds a lost, injured rabbit in the woods on Christmas Eve. The rabbit is nursed back to health by The Bunny Lady (Florence Henderson), who runs a rabbit rescue in an old barn behind her Michigan farmhouse.",96,Everybody needs some bunny to love.,5.7
 en ,Butterfly,"Orson Welles, as judge Rauch, holds a lengthy trial against Jess Tyler, a caretaker deserted by his wife ten years before, who's accused of improper relations with his daughter Kady. Complications follows when Wash, father of Kady's baby, comes back to take her away.",107,A Controversial Thriller of Murder and Revenge.,5
 en ,UnDivided,"UnDivided documents the true story of how a suburban church unites with at-risk Roosevelt High School to create a beautiful transformation for students, the school and the volunteers serving it.",0,,0
 en ,The Frozen,"After a harrowing snowmobile accident, a young couple is stranded in the woods and must survive while waiting for help to arrive. Events take a turn for the worse after the disappearance of Emma's boyfriend, leaving her on her own not only to battle the elements, but also to elude a mysterious hunter who is tracking her through the forest.",0,,4.2
 en ,Horse Camp,"What’s the matter with Kathy (Jordan Trovillion, Highland Park)? She’s your typical 17 year-old girl in search of something more in her life. It seems the only place she is going to find it is at Horse Camp. Her father Luke (Dean Cain, Lois &amp; Clark: The New Adventures of Superman) recognizes that she’s got it in her blood, a sensibility in her being - she understands horses just as much as they understand her. But at Horse Camp there is much more to learn, not only about horses, but about people and the many challenges of friendship.",108,The summer they'll never forget,5.5
 en ,Give Me Shelter,Give Me Shelter is a documentary to raise awareness for important animal issues around the world. This film uncovers the most prevalent issues in the animal world through the eyes of individuals dedicating their lives to them daily.,90,,0
 en ,The Big Parade,"The story of an idle rich boy who joins the US Army's Rainbow Division and is sent to France to fight in World War I, becomes friends with two working class men, experiences the horrors of trench warfare, and finds love with a French girl.",151,,7
 en ,Little Big Top,"An aging out of work clown returns to his small hometown, resigned to spend the rest of his days in a drunken stupor. But when his passion for clowning is reawakened by the local amateur circus he finds his smile.",0,,10
 en ,Along the Roadside,"Road movie about two young people from different parts of the world, their vastly different clashing cultures and their journey of self-discovery during the drive to the largest music festival in California.",118,,7.7
 en ,Bronson,"A young man who was sentenced to 7 years in prison for robbing a post office ends up spending 30 years in solitary confinement. During this time, his own personality is supplanted by his alter ego, Charles Bronson.",92,The Man. The Myth. The Celebrity.,6.9
 en ,Western Religion,"The year is 1879. Gunfighters from the far reaches of the globe descend on Religion, AZ to compete in a legendary poker tournament. Drawn by the gold prize, the players come to realize that in this game, their very souls are at stake.",106,"Your soul is at stake in Religion, Arizona.",0
 en ,Burn,"A character-driven, action-packed documentary about Detroit, told through the eyes of the Detroit firefighters, the men and women charged with the thankless task of saving a city that many have written off as dead.",86,One Year on the Front Lines of the Battle to Save Detroit,6.9
 en ,Urbania,"Charlie takes an odyssey through grief during a fall weekend in New York City. His encounters are planned and chance: with a homeless man who sleeps by his building, with a friend who's dying, with the couple who lives (and noisily loves) in the flat above him, with a bartender and a one-night-stand he follows home, and with a tattooed stranger whom he seeks out and befriends. Along the way, Charlie inhabits a city full of moments of violence and of stories and legends: a kidney thief, a microwaved poodle, a rat in a hot dog bun, a baby left on a car top, a tourist's toothbrush, needles in public-phone change slots. Charlie lives and tells his own stories. What caused his melancholy?",103,Heard any good stories lately?,5.2
 en ,The Stewardesses,"The Stewardesses is a 1969 Softcore 3-D film. Produced on a budget of just over $100,000, the film grossed over $27,000,000 (USD) in 1970 dollars, becoming the most profitable 3-D film ever released. This has now been passed by James Camerons Avatar.",69,The Unpublishable Novel Is Now America's Most Controversial Film!,4.3
 en ,"The Beast from 20,000 Fathoms","The Beast from 20,000 Fathoms is a 1953 science fiction film directed by Eugène Lourié and stars Paul Christian, Paula Raymond and Cecil Kellaway with visual effects by Ray Harryhausen. The film is about an atomic bomb test in the Arctic Circle that unfreezes a hibernating fictional dinosaur, a Rhedosaurus, that begins to wreak havoc in New York City.",80,It's alive !,6.7
 en ,Mad Max,"In a dystopian future Australia, a vicious biker gang murders a cop's family, and makes his fight with them personal.",93,The Maximum Force Of The Future,6.6
 en ,Swingers,"This is a story about Mike, a guy who left his girl in New York when he came to LA to be a star. It's been six months since his girlfriend left him and he's not doing so good. So, his pal and some other friends try and get him back in the social scene and forget about his 6 year relationship.",94,Cocktails first. Questions later.,6.8
 it ,Per un pugno di dollari,"The Man With No Name enters the Mexican village of San Miguel in the midst of a power struggle among the three Rojo brothers and sheriff John Baxter. When a regiment of Mexican soldiers bearing gold intended to pay for new weapons is waylaid by the Rojo brothers, the stranger inserts himself into the middle of the long-simmering battle, selling false information to both sides for his own benefit.",99,"In his own way he is perhaps, the most dangerous man who ever lived!",7.6
 en ,She Done Him Wrong,"New York singer and nightclub owner Lady Lou has more men friends than you can imagine. Unfortunately one of them is a vicious criminal who's escaped and is on the way to see ""his"" girl, not realising she hasn't exactly been faithful in his absence. Help is at hand in the form of young Captain Cummings a local temperance league leader though.",66,Mae West gives a 'Hot Time' to the nation!,5.1
 en ,Short Cut to Nirvana: Kumbh Mela,"Every 12 years over 70 million pilgrims gather at the meeting of India's holiest rivers, the Ganges and the Yamuna, for a spectacular spiritual festival: the Kumbh Mela. This documentary takes a voyage of discovery through this colorful event through the eyes of several Westerners and an ebullient young Hindu monk, Swami Krishnanand. Featuring encounters with some of India's most respected holy men and exclusive footage of His Holiness the Dalai Lama.",85,,0
 en ,The Grace Card,"Everything can change in an instant ... and take a lifetime to unravel. When Mac McDonald loses his son in an accident, the ensuing 17 years of bitterness and pain erodes his love for his family and leaves him angry with God ... and just about everyone else. Mac's rage stonewalls his career in the police department and makes for a combustible situation when he's partnered with Sam Wright, a rising star on the force who happens to be a part-time pastor and a loving family man. Can they somehow join forces to help one another when it's impossible for either of them to look past their differences-especially the most obvious one? Every day, we have the opportunity to rebuild relationships and heal deep wounds by extending and receiving God's grace. Offer THE GRACE CARD ... and never underestimate the power of God's love.",101,Never Underestimate The Power Of Grace ...,6.5
 en ,Middle of Nowhere,'Middle of Nowhere' follows a woman named Ruby who lost her husband to incarceration and lost herself in the process.,101,,6.6
 de ,Drei,"Hanna and Simon are in a 20 year marriage with an unexiting relationship. By chance, they both meet and start separate affairs with Adam. Adam has no idea that his two lovers are married, until they are all found out when Hanna becomes pregnant, with the natural doubts stemming from their situation.",119,Imagine the possibilities.,6.3
 en ,The Business of Fancydancing,"Seymour Polatkin is a successful, gay Indian poet from Spokane who confronts his past when he returns to his childhood home on the reservation to attend the funeral of a dear friend.",103,Sometimes going home is the hardest journey of all.,8
 en ,Call + Response,"Call + Response is a first of its kind feature documentary film that reveals the world’s 27 million dirtiest secrets: there are more slaves today than ever before in human history. Call + Response goes deep undercover where slavery is thriving from the child brothels of Cambodia to the slave brick kilns of rural India to reveal that in 2007, Slave Traders made more money than Google, Nike and Starbucks combined. Luminaries on the issue and many other prominent political and cultural figures offer first hand account of this 21st century trade. Performances from Grammy-winning and critically acclaimed artists move this chilling information into inspiration for stopping it. Music is part of the movement against human slavery. Dr. Cornel West connects the music of the American slave fields to the popular music we listen to today, and offers this connection as a rallying cry for the modern abolitionist movement currently brewing.",86,A FILM ABOUT THE WORLD'S 27 MILLION MOST TERRIFYING SECRETS.,8
 en ,Malevolence,"It's ten years after the kidnapping of Martin Bristol. Taken from a backyard swing at his home at the age of six, he is forced to witness unspeakable crimes of a deranged madman. For years, Martin's whereabouts have remained a mystery...until now.",90,,4.9
 en ,Reality Show,"The Warwick family are unknowingly being filmed for a new reality show. Problem is, they're boring. So the producer must add conflict and drama to their lives. Their lives begin to unravel with shocking consequences.",92,,5.5
 en ,Super Hybrid,"Late one night, a mysterious car is brought into the Chicago police impound garage after a deadly traffic accident. The on-call mechanics soon discover the car has a mind of its own. With hundreds of horsepower and two tons of reinforced steel at its command, it's a seemingly unstoppable killing machine capable of outrunning -- and outwitting -- humans.",95,,4.6
 en ,Baghead,"Four actors go to a cabin in the woods to write, direct, and act in a film that will jump-start their careers. Their idea is a horror film about a man with a bag over his head, but what happens when that man mysteriously shows up?",84,,5.8
 pt ,Solitude,"After finding an old storage locker filled with his family's history, James Erikson begins a journey to discover the truth behind a mysterious piece of land in the small town of Solitude.",89,,0
 en ,Chats perchés,Paris 2002. Yellow cats appear on the walls. Chris Marker is looking for these mysterious cats and captures with his camera the political and international events of these last two years (war in Iraq...).,59,,7.7
 da ,Ordet,"How do we understand faith and prayer, and what of miracles? August 1925 on a Danish farm. Patriarch Borgan has three sons: Mikkel, a good-hearted agnostic whose wife Inger is pregnant, Johannes, who believes he is Jesus, and Anders, young, slight, in love with the tailor's daughter. The fundamentalist sect of the girl's father is anathema to Borgan's traditional Lutheranism; he opposes the marriage until the tailor forbids it, then Borgan's pride demands that it happen. Unexpectedly, Inger, who is the family's sweetness and light, has problems with her pregnancy. The rational doctor arrives, and a long night brings sharp focus to at least four views of faith.",126,,7.8
 en ,Good Dick,"A fidgety, wisecracking video store clerk develops a fixation on a particularly reclusive customer, a frequent visitor to the pornography section of Cinefile, the video store where he works in Los Angeles. After multiple failures to impress her during their brief daily transactions, he finds her street address in the store's database, drives to her apartment building and initiates an unconventional campaign to win her affections.",86,A hard man... is good to find.,6.1
 en ,The Man from Earth,"An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he never ages and has walked the earth for 14,000 years.",87,From one of the acclaimed writers of Star Trek and The Twilight Zone comes a story that transcends both time and space...,7.7
 en ,The Trials Of Darryl Hunt,"""The Trials of Darryl Hunt"" is a feature documentary about a brutal rape/murder case and a wrongly convicted man, Darryl Hunt, who spent nearly twenty years in prison for a crime he did not commit. Both a social justice story and a personally driven narrative, the film chronicles this capital case from 1984 through 2004. With exclusive footage from two decades, the film frames the judicial and emotional response to a chilling crime - and the implications that reverberate from Hunt's conviction - against a backdrop of class and racial bias in the South and in the American criminal justice system.",106,,6.8
 en ,Samantha: An American Girl Holiday,"Kindhearted Samantha Parkington's world starts to change the day Nellie O'Malley walks into her life. Nellie, her father, and her two little sisters have moved in next door to be servants for the Ryland family. Though they come from completely different backgrounds, Samantha and Nellie become fast friends. The girls turn to each other in happiness and sorrow, adventure and danger.",86,,4.6
